WKT,Nome,Descriçao,Facção,nome,descrição
"POLYGON ((-43.429508 -22.768917, -43.425645 -22.773467, -43.420667 -22.770935, -43.42277 -22.76587, -43.429508 -22.768917))",Santo Elias (Milícia),Atualização: 04/09/2019
Facção: MILÍCIA

Liderança: ZEBU / SALVIANO
,,,
"POLYGON ((-43.415737 -22.822642, -43.414203 -22.82421, -43.412615 -22.824291, -43.409772 -22.822859, -43.4100831 -22.8224838, -43.4084202 -22.8215943, -43.4092487 -22.820845, -43.4097866 -22.8204162, -43.4107959 -22.8203007, -43.411097 -22.820383, -43.413495 -22.821134, -43.414723 -22.821337, -43.415737 -22.822642))",Ás de Ouro (TCP),Atualização: 04/09/2019
Facção: TCP

Liderança: Ignorado
,,,
"POLYGON ((-43.415351 -22.777527, -43.418334 -22.782374, -43.416467 -22.783344, -43.4146 -22.782374, -43.413012 -22.780475, -43.415351 -22.777527))",Morro do Coco (CV),Atualização: 04/09/2019
Facção: CV

Liderança: NETO FORMIGÃO
,,,
"POLYGON ((-43.412442 -22.780486, -43.416562 -22.783809, -43.414502 -22.785867, -43.410318 -22.781613, -43.412442 -22.780486))",Morro do Sampaio (CV),Atualização: 04/09/2019
Facção: CV

Liderança: NETO FORMIGÃO
,,,
"POLYGON ((-43.408012 -22.794422, -43.411016 -22.79822, -43.41166 -22.799486, -43.408313 -22.803521, -43.402865 -22.800294, -43.408012 -22.794422))",Novo Horizonte (CV),Atualização: 04/09/2019
Facção: CV

Liderança: VINÍCIUS MAGAL / MARCINHO VP
,,,
"POLYGON ((-43.416804 -22.796191, -43.411698 -22.799238, -43.408822 -22.794055, -43.411526 -22.792512, -43.416804 -22.796191))",Nova Cidade (CV),Atualização: 04/09/2019
Facção: CV

Liderança: VINÍCIUS MAGAL / MARCINHO VP
,,,
"POLYGON ((-43.329842 -22.756425, -43.347952 -22.760026, -43.362214 -22.762693, -43.362195 -22.763163, -43.355234 -22.761852, -43.34792 -22.760482, -43.33842 -22.75875, -43.329756 -22.756781, -43.329842 -22.756425))",Dique (CV),ATUALIZADO EM: Ignorado
Facção: Ignorado

Lideranças:

Armas:

Modus Operandi:

Demais integrantes:
,,,
"POLYGON ((-43.393786 -22.81082, -43.395406 -22.811809, -43.394215 -22.813411, -43.392391 -22.812343, -43.393786 -22.81082))",Paiol (CV),Atualização: 04/09/2019
Facção: CV

Liderança: VINÍCIUS MAGAL / MARCINHO VP
,,,
"POLYGON ((-43.377671 -22.78362, -43.374753 -22.774599, -43.371363 -22.771275, -43.372607 -22.76526, -43.36278 -22.763638, -43.362436 -22.763004, -43.385138 -22.766803, -43.396554 -22.777527, -43.387499 -22.781998, -43.382177 -22.783422, -43.380117 -22.78457, -43.377671 -22.78362))",Farrula,Atualização: Não atualizada
Facção: Ignorado

Lideranças: Igrnorado

Armas:

Modus Operandi:

Outros Nomes:,,,
"POLYGON ((-43.359904 -22.782038, -43.356535 -22.785994, -43.351225 -22.782735, -43.350785 -22.781682, -43.350817 -22.779896, -43.351965 -22.77811, -43.358209 -22.778378, -43.358595 -22.779426, -43.358467 -22.780277, -43.359175 -22.781622, -43.359904 -22.782038))",MORRO DA JAQUEIRA,Atualização: Não atualizada
Facção: Ignorado

Lideranças: Igrnorado

Armas:

Modus Operandi:

Outros Nomes:,,,
"POLYGON ((-43.348929 -22.77995, -43.349524 -22.779646, -43.34969 -22.780598, -43.349937 -22.781958, -43.34954 -22.783111, -43.347909 -22.784184, -43.344305 -22.783788, -43.344015 -22.78371, -43.343961 -22.783197, -43.343918 -22.782468, -43.34409 -22.781128, -43.345871 -22.778605, -43.348789 -22.78003, -43.348929 -22.77995))",MORRO DO AMOR (TCP),Atualização: 15/05/2020
Facção: TCP

Liderança: FABIO ROBERTO LOPES DOS SANTOS, VULGO CHUCHU

Bairro: Jardim Íris
Link georreferenciado: 22°46’89.07”S 43°20’88.71”W
,,,
"POLYGON ((-43.405502 -22.820155, -43.405373 -22.820412, -43.402519 -22.818672, -43.399773 -22.817446, -43.398271 -22.820234, -43.397262 -22.819839, -43.395588 -22.818593, -43.397069 -22.816477, -43.39458 -22.815507, -43.394406 -22.815099, -43.395546 -22.815488, -43.39809 -22.816484, -43.40053 -22.817357, -43.402991 -22.818593, -43.405502 -22.820155))",Beira Rio (CV),Atualização: 04/09/2019
Facção: CV

Liderança: VINÍCIUS MAGAL / MARCINHO VP
,,,
"POLYGON ((-43.400545 -22.810385, -43.405995 -22.813747, -43.402734 -22.818158, -43.401124 -22.816971, -43.400245 -22.816595, -43.399022 -22.816318, -43.397756 -22.815567, -43.396812 -22.815329, -43.400545 -22.810385))",Morro da Mina (CV),Atualização: 04/09/2019
Facção: CV

Liderança: VINÍCIUS MAGAL / MARCINHO VP
,,,
"POLYGON ((-43.380246 -22.805637, -43.381147 -22.805459, -43.382349 -22.806251, -43.382671 -22.806844, -43.382928 -22.807497, -43.382842 -22.80807, -43.382521 -22.808624, -43.38207 -22.80898, -43.38162 -22.809257, -43.381019 -22.809771, -43.379967 -22.810424, -43.379146 -22.810706, -43.377028 -22.810876, -43.376602 -22.810538, -43.376405 -22.809376, -43.375886 -22.808616, -43.374666 -22.807746, -43.372908 -22.807299, -43.371964 -22.806864, -43.371556 -22.806607, -43.37177 -22.805934, -43.371985 -22.804194, -43.37338 -22.804411, -43.37471 -22.805163, -43.375869 -22.805618, -43.377092 -22.805538, -43.378058 -22.805301, -43.379195 -22.805222, -43.379731 -22.805262, -43.380246 -22.805637))",Engenheiro Belford (CV),Atualização: Não atualizada
Facção: CV

Lideranças: Igrnorado

Armas:

Modus Operandi:

Outros Nomes:,,,
"POLYGON ((-43.338801 -22.78822, -43.339745 -22.789565, -43.340464 -22.789882, -43.341086 -22.789931, -43.341622 -22.789733, -43.342459 -22.789684, -43.342749 -22.789822, -43.342577 -22.792156, -43.341376 -22.793769, -43.339015 -22.793779, -43.338565 -22.793432, -43.338125 -22.792987, -43.337889 -22.791039, -43.33717 -22.790821, -43.337449 -22.790228, -43.33658 -22.789961, -43.33644 -22.789862, -43.336354 -22.789634, -43.336462 -22.788863, -43.337202 -22.788279, -43.337985 -22.788111, -43.338801 -22.78822))",MORRO DA CAIXA D'ÁGUA (TCP),Atualização: 28/02/2018
Facção atual: TCP

Lider: Jefinho (preso, 35 anos)

Gerentes: Gordinho (27 anos, turno do dia),
Cicatriz (24 anos, turno da noite).

Armas: Fuzil (a noite ficam uns 5 aproximadamente)
Durante o dia Pistolas Glock com kit rajada 40 e 9mm.

Já foi dominado pelo CV, sofre ataques constantes do CV para tentar retomada.

Esses traficantes são fechados com a Milícia do Cabral (predinhos), utilizando os soldados, se necessário (numa guerra contra o CV) e pagando quantia em dinheiro para poder trabalhar sem serem incomodados.
Há um acordo financeiro.
,,,
"POLYGON ((-43.360977 -22.753388, -43.362265 -22.75505, -43.362393 -22.762213, -43.353295 -22.760511, -43.354136 -22.75684, -43.356661 -22.75573, -43.357303 -22.75592, -43.357406 -22.75693, -43.357719 -22.757201, -43.358809 -22.757495, -43.359293 -22.757502, -43.361054 -22.756587, -43.361678 -22.754825, -43.360505 -22.753536, -43.360977 -22.753388))",Bom Pastor (CV ou ADA),Atualização: Não atualizada
Facção: CV
Informante disse se tratar de ADA

Lideranças: Igrnorado

Armas:

Modus Operandi:

Outros Nomes:
,,,
"POLYGON ((-43.342953 -22.749668, -43.339477 -22.753665, -43.3369756 -22.7511068, -43.338165 -22.748509, -43.33781 -22.74817, -43.3359397 -22.7492355, -43.333726 -22.747016, -43.337932 -22.746304, -43.338919 -22.747135, -43.339992 -22.746739, -43.342953 -22.749668))",Morro Azul,ADA
Temos informação de que não há nenhuma comunidade sob o comando da facção ADA na Baixada, portanto esse informe pode estar desatualizado.,,,
"POLYGON ((-43.353338 -22.743731, -43.357244 -22.748006, -43.356299 -22.749034, -43.354154 -22.748678, -43.352351 -22.748718, -43.352308 -22.748085, -43.351664 -22.745275, -43.353338 -22.743731))",Morro do Machado (TCP),Atualização: 15/05/2020
Facção: TCP

Liderança: MOEDA (SDQ)
,,,
"POLYGON ((-43.365698 -22.744641, -43.36499 -22.744463, -43.363295 -22.744622, -43.362329 -22.743969, -43.361363 -22.74288, -43.360076 -22.742544, -43.359582 -22.742128, -43.359067 -22.741673, -43.356621 -22.744483, -43.357072 -22.746462, -43.357651 -22.747511, -43.357244 -22.748006, -43.35396 -22.744444, -43.358209 -22.740802, -43.357372 -22.740268, -43.357351 -22.739615, -43.35499 -22.737933, -43.35896 -22.733678, -43.360977 -22.735024, -43.364239 -22.740565, -43.366342 -22.743177, -43.365698 -22.744641))",,,,Jardim Ideal (TCP),Atualização: 15/05/2020
Facção: TCP
Liderança: MOEDA (SDQ)
"POLYGON ((-43.35499 -22.737933, -43.357351 -22.739615, -43.357372 -22.740268, -43.358209 -22.740802, -43.35396 -22.744444, -43.351386 -22.741614, -43.35499 -22.737933))",Morro Caixa D Água (CV),Bairro: Parque Floresta
Complexo do Parque Floresta
Facção: CV

lideranças: Fernando Maurício Fernandes (Lineu) e Everton Alan Soares Conceição (Eto)

Link georreferenciado: 22°44’25.1”S 43°21’10.7”W,,,
"POLYGON ((-43.3589707 -22.7336681, -43.3512887 -22.7417421, -43.3491007 -22.7389321, -43.3486707 -22.7367161, -43.3495297 -22.7335101, -43.3511607 -22.7323221, -43.3529627 -22.7322031, -43.3549797 -22.7306601, -43.3565247 -22.7308971, -43.3589707 -22.7336681))",Pq Floresta (TCP),Atualização: 15/05/2020
Facção: TCP

Liderança: GEONARIO FERNANDES PEREIRA MORENO - vulgo GENARO DA GUACHA
,,,
"POLYGON ((-43.39179 -22.745077, -43.391876 -22.743652, -43.39061 -22.741653, -43.393421 -22.741258, -43.396211 -22.744087, -43.395663 -22.744592, -43.395438 -22.748114, -43.394043 -22.749311, -43.393764 -22.749183, -43.393614 -22.749133, -43.393292 -22.749014, -43.392488 -22.748639, -43.391662 -22.747412, -43.39164 -22.746106, -43.391705 -22.745512, -43.39179 -22.745077))",Morro Rola Bosta (CV),Bairro: Nova Piam
Complexo do Castelar
Facção: CV

Lideranças presas: Hélio Romualdo dos Santos (Helinho)

lideranças soltas: José Carlos dos Prazeres Silva (Piranha)

Link georreferenciado: 22°44’49.7”S 43°23’37.4”W.,,,
"POLYGON ((-43.401833 -22.746551, -43.40415 -22.746887, -43.404257 -22.747402, -43.403313 -22.753081, -43.402455 -22.755001, -43.401468 -22.75688, -43.401275 -22.757197, -43.401146 -22.757612, -43.400738 -22.756782, -43.399258 -22.755634, -43.398249 -22.754526, -43.397562 -22.752982, -43.397294 -22.752606, -43.396436 -22.751567, -43.395374 -22.750251, -43.394043 -22.749361, -43.395524 -22.748104, -43.395776 -22.744622, -43.400942 -22.746591, -43.401833 -22.746551))",Morro do Castelar (CV),Atualização: 15/05/2020
Facção: CV
Bairro: Piam
Complexo do Castelar

Lideranças presas: Hélio Romualdo dos Santos (Helinho)

lideranças soltas: José Carlos dos Prazeres Silva (Piranha)

Link georreferenciado: 22°45’05.9”S 43°23’59.9”W,,,
"POLYGON ((-43.39591 -22.7144, -43.401232 -22.713529, -43.402476 -22.712698, -43.404665 -22.715548, -43.40591 -22.71729, -43.409686 -22.715073, -43.413076 -22.712817, -43.416638 -22.714123, -43.415437 -22.71535, -43.412733 -22.71638, -43.412089 -22.719428, -43.409986 -22.721724, -43.409858 -22.72307, -43.408999 -22.722911, -43.407454 -22.723742, -43.404922 -22.722397, -43.403378 -22.725761, -43.401318 -22.726316, -43.399515 -22.722911, -43.395395 -22.719349, -43.393421 -22.717567, -43.394108 -22.716063, -43.39591 -22.7144))",Nova Aurora (Milícia),Atualização: 15/05/2020
Facção: MILÍCIA
Liderança: INDEFINIDA.

NO MOMENTO, COM A PRISÃO DO EX-LÍDER DA MÍLICIA (JAQUINHA) HÁ UM CONFRONTO ENTRE SEUS EX-COMANDADOS QUE SE DIVIDIRAM EM 03 GRUPOS: 1 LIDERADO POR NENEM; 2 LIDERADO POR BUGAN; 3 LIDERADO POR NAVAL.,,,
"POLYGON ((-43.355527 -22.748955, -43.354626 -22.75315, -43.350892 -22.751449, -43.346987 -22.759284, -43.335872 -22.757108, -43.342953 -22.749668, -43.350377 -22.74567, -43.351664 -22.745275, -43.352094 -22.748599, -43.355055 -22.748995, -43.355527 -22.748955))",Jardim Ideal,Atualização: Não atualizada
Facção: Ignorado

Lideranças: Igrnorado

Armas:

Modus Operandi:

Outros Nomes:,,,
"POLYGON ((-43.347073 -22.747254, -43.342953 -22.749668, -43.339992 -22.746739, -43.338919 -22.747135, -43.3357 -22.744364, -43.332438 -22.744087, -43.3321379 -22.7445422, -43.3309793 -22.7443938, -43.3306146 -22.7441217, -43.329016 -22.7459249, -43.3290118 -22.7449901, -43.331194 -22.743058, -43.332138 -22.741752, -43.332095 -22.739813, -43.3325898 -22.7392761, -43.333428 -22.739135, -43.333282 -22.738093, -43.3357427 -22.7386842, -43.3378245 -22.739219, -43.340807 -22.738784, -43.342481 -22.738467, -43.345313 -22.74385, -43.346558 -22.743889, -43.349132 -22.741792, -43.349905 -22.744127, -43.347974 -22.745077, -43.347073 -22.747254))",Comunidade Santa Teresa (TCP),Atualização: 15/05/2020
Facção: TCP

Liderança: MOEDA (SDQ)
,,,
"LINESTRING (-43.331838 -22.742583, -43.32746 -22.746294, -43.326945 -22.748738)",,,,Ligação,
"POLYGON ((-43.368359 -22.730729, -43.368874 -22.731481, -43.371406 -22.732668, -43.373315 -22.733064, -43.375204 -22.733678, -43.374367 -22.736627, -43.373337 -22.736726, -43.372006 -22.736923, -43.372543 -22.737913, -43.371964 -22.738704, -43.367886 -22.735439, -43.365634 -22.733044, -43.36647 -22.732728, -43.368359 -22.730729))",Barro Vermelho (TCP),Atualização: 15/05/2020
Facção: TCP

Barro Vermelho
Complexo do Gogó da Ema

Liderança – MARCIO SOBRAL RIBEIRO, VULGO BADO
,,,
"POLYGON ((-43.36098 -22.735016, -43.3626 -22.734671, -43.363281 -22.735201, -43.364445 -22.734306, -43.365464 -22.73319, -43.366387 -22.733826, -43.367889 -22.735432, -43.371966 -22.738697, -43.372546 -22.737906, -43.372009 -22.736916, -43.37437 -22.736619, -43.375206 -22.73367, -43.373318 -22.733057, -43.371237 -22.732592, -43.368876 -22.731474, -43.368361 -22.730722, -43.371451 -22.726783, -43.373511 -22.725754, -43.376344 -22.725754, -43.376687 -22.727812, -43.376086 -22.728287, -43.378146 -22.729791, -43.379176 -22.730346, -43.379605 -22.732562, -43.372739 -22.739766, -43.371794 -22.73933, -43.371322 -22.74028, -43.369305 -22.741032, -43.368061 -22.742734, -43.366344 -22.74317, -43.364241 -22.740557, -43.36098 -22.735016))",JD . Leopoldo (ADA),Temos informação de que não há nenhuma comunidade sob o comando da facção ADA na Baixada, portanto esse informe pode estar desatualizado.,,,
"POLYGON ((-43.363407 -22.735058, -43.362511 -22.734286, -43.362286 -22.734529, -43.361122 -22.734519, -43.360795 -22.734361, -43.360816 -22.734034, -43.361487 -22.73298, -43.361573 -22.732802, -43.362468 -22.731996, -43.362865 -22.732065, -43.363102 -22.732451, -43.36426 -22.732995, -43.365451 -22.733134, -43.364561 -22.734143, -43.363407 -22.735058))",CASINHAS (CV),Bairro: Parque das Flores
Complexo do Parque Floresta
Facção: CV

lideranças: Fernando Maurício Fernandes (Lineu) e Everton Alan Soares Conceição (Eto)

Link georreferenciado: 22°44’00.3”S 43°21’46.8”W,,,
